&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FLYN8ACS","book","2013","Hutchison, Katrina","Women in philosophy: what needs to change?","","978-0-19-932561-0 978-0-19-932560-3 978-0-19-932562-7","","","","","2013","2020-09-16 14:40:46","2020-09-25 18:53:05","","","viii, 271","","","","","Women in philosophy","","","","","Oxford University Press","New York, NY","English","","","","","WorldCat Discovery Service","","Section: viii, 271 pages : illustrations ; 25 cm","","","","Englisches Sprachgebiet.; Filosofer representation osynlighet.; Filosofi forskning forskare jämställdhet strategier Storbritannien Förenta staterna Australien Nya Zeeland 2000-talet.; Fördomar värderingar.; Frau.; Könsdiskriminering.; Kvinnliga filosofer.; Philosophers representation invisibility.; Philosophie.; Philosophin.; Philosophy research resarchers equality strategies Great Britain United States Australia New Zealand 21st century.; Prejudices values.; Sex discrimination.; Vrouwelijke filosofen.; Women philosophers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHCVWJA8","book","2010","Zengin, Berna.","Women engineers in Turkey: gender, technology, education and professional life","","978-3-8383-3920-7","","","","","2010","2020-09-16 14:40:46","2020-09-25 18:51:31","","","v, 148","","","","","Women engineers in Turkey","","","","","Lambert Academic Publishing","Saabrücken, Germany","English","","","","","WorldCat Discovery Service","","Section: v, 148 pages : illustrations ; 23 cm","","","","Turkey.; Women engineers Turkey.; Women engineers.; Women in engineering Turkey.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H3UZLST","book","2018","Brereton, Catherine","Women scientists in physics and engineering","","978-1-5382-1412-1 978-1-5382-1465-7","","","","","2018","2020-09-16 14:40:46","2020-09-25 18:53:44","","","48","","","","","","Superwomen in STEM","","","","Gareth Stevens Publishing","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 48 pages : color illustrations, portraits (some color) ; 25 cm","","","","Juvenile works.; Literature.; Women in science Juvenile literature.; Women in science.; Women physicists Juvenile literature.; Women physicists.; Women scientists Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8E5UWMKF","book","2014","","Women in industrial research","","978-3-515-10670-2","","","","","2014","2020-09-16 14:40:46","2020-09-25 18:51:14","","","xv, 258","","","","","","Wissenschaftskultur um 1900, 1613-673X ; Bd. 8","","","","Franz Steiner","Stuttgart","English","","","","","WorldCat Discovery Service","","Section: xv, 258 pages : illustrations, portraits ; 25 cm.","","","","Akademiker; Chemical industry History.; Chemical industry.; Cosmetics industry History.; Cosmetics industry.; Electrical engineering History.; Electrical engineering.; Frauen; Germany.; Geschichte; History.; Industrieforschung; Nuclear industry History.; Nuclear industry.; Optics History.; Optics.; Research, Industrial History.; Research, Industrial.; Wissenschaft; Wissenschaftler; Wissenschaftlerin; Women History.; Women in science History.; Women in science.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I66275ZS","book","2009","Sheppard, S.; Macatangay, Kelly; Colby, Anne; Sullivan, William M.; Shulman, Lee S.; Carnegie Foundation for the Advancement of Teaching.","Educating engineers: designing for the future of the field","","978-0-7879-7743-6","","","http://catdir.loc.gov/catdir/toc/fy0903/2008039906.html","","2009","2020-09-16 14:40:46","2020-09-25 18:52:18","2020-09-16 14:40:45","","xxiv, 242","","","","","Educating engineers","The preparation for professions series","","","","Jossey-Bass","San Francisco, CA","English","","","","","WorldCat Discovery Service","","Section: xxiv, 242 pages : illustrations ; 24 cm.","","","","Ausbildung; Engineering Study and teaching; Engineering Study and teaching.; Ingénierie.; Ingénieurs Orientation professionnelle.; Ingenieurwissenschaften; Lehre","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSSH5VEL","book","2000","Bart, Jody","Women succeeding in the sciences: theories and practices across disciplines","","978-1-55753-121-6 978-1-55753-122-3","","","http://ets.umdl.umich.edu/cgi/t/text/text-idx?c=epv2;cc=epv2;view=toc;idno=BAY2442.0001.001","","2000","2020-09-16 14:40:46","2020-09-25 18:54:01","2020-09-16 14:40:46","","x, 277","","","","","Women succeeding in the sciences","","","","","Purdue University Press","West Lafayette, Ind.","English","","","","","WorldCat Discovery Service","","Section: x, 277 pages ; 24 cm","","","","Aufsatzsammlung; Geschichte; Lehrveranstaltung; Naturwissenschaftlerin; Naturwissenschaftliches Studium; Science education.; Science Study and teaching.; Women Education.; Women in science.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7Z29LL6","book","2011","Parkinson, Claire L.; Millar, Pamela S.; Thaller, Michelle.; Goddard Space Flight Center.; Maryland Women's Heritage Center.","Women of Goddard: careers in science, technology, engineering & mathematics","","","","","","","2011","2020-09-16 14:40:46","2020-09-25 18:52:45","","","112","","","","","Women of Goddard","","","","","NASA Goddard Space Flight Center","Greenbelt, Md.","English","","","","","WorldCat Discovery Service","","Section: 112 pages : color illustrations ; 28 cm","","","","Employees.; Goddard Space Flight Center Officials and employees.; Goddard Space Flight Center.; Government publications United States.; Maryland Greenbelt.; Women in astronautics Maryland Greenbelt.; Women in astronautics.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UVA2H4H","book","2009","Wyer, Mary.","Women, science, and technology: a reader in feminist science studies","","978-0-415-96039-7 978-0-415-96040-3 978-0-203-89565-8","","","http://catdir.loc.gov/catdir/toc/ecip085/2007048799.html","","2009","2020-09-16 14:40:46","2020-09-25 18:51:57","2020-09-16 14:40:46","","xiv, 393","","","","","Women, science, and technology","MyiLibrary.","","","","Routledge","New York","English","","","","","WorldCat Discovery Service","","Section: xiv, 393 pages : illustrations ; 26 cm","","","","Feminism and science.; Feministisk teori.; Genusforskning.; Kvinnor och teknik.; Naturvetenskap.; Technologie.; Vrouwenstudies.; Wetenschapsbeoefening.; Women in science.; Women in technology.","","","","","","","","","","","","","","","","","","","","","2nd ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E89UKPI7","book","2000","United Nations. Economic Commission for Europe. Statistical Division.; U.S. Census Bureau.","Women and men in Europe and North America, 2000","","978-92-1-116747-4","","","","","2000","2020-09-16 14:40:58","2020-09-25 18:47:15","","","xx, 252","","","","","","","","","","United Nations","New York","English","","","","","WorldCat Discovery Service","","Section: xx, 252 pages : illustrations, maps ; 30 cm","","","","Amérique du Nord Différences entre sexes Statistiques.; DISTRIBUCION POR SEXO (DEMOGRAFIA) AMERICA DEL NORTE ESTADISTICAS.; DISTRIBUCION POR SEXO (DEMOGRAFIA) EUROPA ESTADISTICAS.; Europe Différences entre sexes Statistiques.; Europe.; Femmes Amérique du Nord Statistiques.; Femmes Europe Statistiques.; Hommes Amérique du Nord Statistiques.; Hommes Europe Statistiques.; Indicateurs sociaux.; Leefsituatie.; Mannen.; North America.; Population Statistiques.; Répartition par sexe (démographie); Répartition par sexe (démographie) Amérique du Nord Statistiques.; Sex distribution (Demography); Sex distribution (Demography) Europe Statistics.; Sex distribution (Demography) North America Statistics.; Statistics.; Vrouwen.","","","","","","","","","","","","","","","","","","","","","[2nd ed.].","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LP9LJEY7","book","2017","Lewis, Anna M.","Women of steel and stone: 22 inspirational architects, engineers, and landscape designers.","","978-1-61373-667-8","","","","","2017","2020-09-16 14:40:58","2020-09-25 18:49:37","","","264","","","","","Women of steel and stone","","","","","Chicago Review","[Place of publication not identified]","English","","","","","WorldCat Discovery Service","","Section: 264 p. 22 cm.","","","","Architects.; Architektin.; Biographies.; Biography.; Engineers.; Ingenieurin.; Ingenjörer.; JUVENILE NONFICTION Architecture.; JUVENILE NONFICTION Biography & Autobiography Science & Technology.; JUVENILE NONFICTION Biography & Autobiography Women.; JUVENILE NONFICTION Girls & Women.; Juvenile works.; Kvinnliga arkitekter.; Kvinnor.; Landscape architects.; Landschaftsarchitektin.; Landskapsarkitekter.; Studie- och yrkesorientering.; Vocational guidance.; Women architects Biography Juvenile literature.; Women architects Biography.; Women architects.; Women Biography.; Women engineers Biography Juvenile literature.; Women engineers Biography.; Women engineers.; Women landscape architects Biography Juvenile literature.; Women landscape architects Biography.; Women landscape architects.; Women Vocational guidance Juvenile literature.; Women Vocational guidance.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
