&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BWA4NJLA","book","2018","Gunderson, Lauren","Ada and the engine","","978-0-8222-3770-9","","","","","2018","2020-09-16 14:29:26","2020-09-16 15:49:42","","","79","","","","","","","","","","Dramatists Play Service","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 79 pages ; 20 cm","","","","1800-1899; Babbage, Charles, 1791-1871 Drama.; Babbage, Charles, 1791-1871.; Drama.; England.; Lovelace, Ada King, Countess of, 1815-1852 Drama.; Lovelace, Ada King, Countess of, 1815-1852.; Women computer programmers England 19th century Drama.; Women computer programmers.; Women inventors England 19th century Drama.; Women inventors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYRAN36B","book","2002","Bagilhole, Barbara","Women in non-traditional occupations: challenging men","","978-0-333-92926-1","","","","","2002","2020-09-16 14:29:26","2020-09-16 15:51:13","","","vii, 220","","","","","Women in non-traditional occupations","","","","","Palgrave Macmillan","Houndmills, Basingstoke, Hampshire ;","English","","","","","WorldCat Discovery Service","","Section: vii, 220 pages ; 23 cm","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&doc_number=014764045&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","Discrimination sexuelle dans l'emploi.; Equality.; Femmes Travail.; Frau; Frau.; Gleichberechtigung; Männerberuf; Occupations.; Sex discrimination in employment.; Women Employment.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGXCX5PK","book","2007","Frey, Bruno S.; Stutzer, Alois.","Economics and psychology: a promising new cross-disciplinary field","","978-0-262-06263-3 978-0-262-51416-3","","","http://catdir.loc.gov/catdir/toc/ecip078/2007000956.html","","2007","2020-09-16 14:29:59","2020-09-16 15:46:04","2020-09-16 14:29:57","","vi, 286","","","","","Economics and psychology","CESifo seminar series","","","","MIT Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: vi, 286 pages : illustrations ; 24 cm.","","","","83.05 economic sociology and psychology.; Aufsatzsammlung; economic behaviour; economics; Economics (General); Economics Psychological aspects.; economie; Economie (algemeen); Économie politique Aspect psychologique Congrès.; economisch gedrag; Economische psychologie.; human behaviour; menselijk gedrag; psychologie; Psychologie; Psychologie (algemeen); psychology; Psychology (General); Verhaltenswissenschaften; Wirtschaftliches Verhalten; Wirtschaftspsychologie; Wirtschaftspsychologie Aufsatzsammlung.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LWF8PEWM","book","2008","National Research Council (U.S.). Transportation Research Board.","Societal and economic factors.","","978-0-309-11339-7","","","http://www.trb.org/Main/Blurbs/160568.aspx","","2008","2020-09-16 14:29:59","2020-09-16 15:42:58","2020-09-16 14:29:57","","163","","","","","","Transportation research record, 0361-1981 ; no. 2067","","","","Transportation Research Board","Washington, D.C.","English","","","","","WorldCat Discovery Service","","Section: 163 pages : illustrations, charts, maps ; 28 cm.","","","","Transportation engineering Economic aspects.; Transportation engineering Social aspects.; Transportation Planning Economic aspects.; Transportation Planning Social aspects.; Transportation Social aspects.; Transportation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXSEZE9I","book","2019","Reimer, Marilee","Women and careers: transnational studies in public policy and employment equity","","978-1-138-63373-5","","","","","2019","2020-09-16 14:29:59","2020-09-16 15:41:41","","","viii, 173","","","","","Women and careers","Routledge studies in gender and organizations ; 3","","","","Routledge","New York, NY","English","","","","","WorldCat Discovery Service","","Section: viii, 173 pages ; 24 cm.","","","","Diversity in the workplace.; Sex discrimination in employment.; Women Employment.; Women Vocational guidance.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMY3C3ZM","book","2006","O'Beirne, Kate.","Women who make the world worse: and how their radical feminist assault is ruining our families, military, schools, and sports","","978-1-59523-009-6","","","http://catdir.loc.gov/catdir/enhancements/fy0721/2005051715-b.html","","2006","2020-09-16 14:29:59","2020-09-16 15:42:04","2020-09-16 14:29:57","","xxiii, 230","","","","","Women who make the world worse","","","","","Sentinel","New York","English","","","","","WorldCat Discovery Service","","Section: xxiii, 230 pages ; 24 cm","","","","Feminism United States History.; Feminism.; History.; United States.; Women United States History.; Women.; Women's rights United States History.; Women's rights.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6H7VEE5","book","2002","Fulford, Tim","Romanticism and science, 1773-1833","","978-0-415-21952-5 978-0-415-21953-2 978-0-415-21954-9 978-0-415-21955-6 978-0-415-21956-3 978-0-415-28260-4","","","http://catdir.loc.gov/catdir/enhancements/fy0650/2001057001-d.html","","2002","2020-09-16 14:29:59","2020-09-16 15:44:49","2020-09-16 14:29:58","","","","","","","","Subcultures and subversions 1750-1850","","","","Routledge","London ;","English","","","","","WorldCat Discovery Service","","Section: 5 volumes : illustrations ; 24 cm.","","","","1700-1899; Collected Work.; Europe.; History, 18th Century.; History, 19th Century.; History.; Medicine in Literature.; Natural Science Disciplines history.; Science Europe History 18th century.; Science Europe History 19th century.; Science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJZL4QX2","book","2020","Dunne, Jane","Physics and engineering","","978-1-5105-4437-6","","","","","2020","2020-09-16 14:29:59","2020-09-16 15:46:39","","","24","","","","","","Women in STEM","","","","Smartbook Media Inc.","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 24 pages : color illustrations ; 26 cm.","","","","Engineering Juvenile literature.; Engineering.; Juvenile works.; Physics Juvenile literature.; Physics.; Women engineers Juvenile literature.; Women engineers.; Women in science Juvenile literature.; Women in science.; Women physicists Juvenile literature.; Women physicists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKRMJ9UR","book","2013","Indovino, Shaina Carmel.","Women in engineering","","978-1-4222-2926-2","","","","","2013","2020-09-16 14:29:59","2020-09-16 15:43:52","","","64","","","","","","Major women in science","","","","Mason Crest","Broomall, Pennsylvania","English","","","","","WorldCat Discovery Service","","Section: 64 pages : illustrations (chiefly color) ; 29 cm.","","","","Biographies.; Engineering Vocational guidance Juvenile literature.; Engineering Vocational guidance.; Juvenile works.; Women engineers Biography Juvenile literature.; Women engineers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EETI7XU","book","2006","","Women and water.","","","","","","","2006","2020-09-16 14:29:59","2020-09-16 15:40:21","","","","","","","","","SA Water celebrating 150 years","","","","SA Water","[Adelaide]","English","","","","","WorldCat Discovery Service","","","","","","History.; SA Water.; Sewerage.; Water-supply engineering History.; Water-supply engineering.; Water-supply.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
