&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I8VIT7LL","book","2005","Noonan, Bonnie","Women scientists in fifties science fiction films","","978-0-7864-2130-5","","","","","2005","2020-09-16 15:04:53","2020-09-22 16:25:51","","","ix, 225","","","","","","","","","","McFarland & Co.","Jefferson, N.C. ;","English","","","","","WorldCat Discovery Service","","Section: ix, 225 p. : ill. ; 23 cm.","","","","Criticism, interpretation, etc.; Femmes scientifiques au cinéma.; Films de science-fiction Histoire et critique.; Könsroller på film.; Kvinnor på film.; Science fiction films History and criticism.; Science fiction films.; Science-Fiction-Film.; Sciencefictionfilm.; USA.; Wissenschaftlerin (Motiv); Wissenschaftlerin <Motiv>; Women scientists in motion pictures.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQUG9QTV","book","2001","O'Connor, Karen","Women and Congress: running, winning, and ruling","","978-0-7890-1670-6 978-0-7890-1671-3","","","http://catdir.loc.gov/catdir/enhancements/fy0810/2002001688-d.html","","2001","2020-09-16 15:04:53","2020-09-22 16:25:26","2020-09-16 15:04:52","","200","","","","","Women and Congress","","","","","Haworth Press","New York","English","","","","","WorldCat Discovery Service","","Section: 200 pages ; 21 cm","","","","Political campaigns United States.; Political campaigns.; United States.; Women legislators United States.; Women legislators.; Women Political activity United States.; Women Political activity.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JVV4DEW","book","2016","Wissinger, Mary; Pioli, Danielle; Coveyou, John J.","Women in chemistry","","978-1-945779-10-7","","","","","2016","2020-09-16 15:04:53","2020-09-22 16:24:17","","","","","","","","","Science wide open.","","","","Genius Games, LLC","St. Louis, Mo.","English","","","","","WorldCat Discovery Service","","Section: 1 volume (unpaged) : color illustrations ; 22 cm.","","","","Chemistry Juvenile literature.; Chemistry.; Chemists United States Juvenile literature.; Chemists.; Juvenile works.; United States.; Women chemists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6LMYHTC","book","2011","Glover, Denise Marie.","Explorers & scientists in China's borderlands, 1880-1950","","978-0-295-99117-7 978-0-295-99118-4","","","http://www.netread.com/jcusers/1305/2465509/image/lgcover.3140303.jpg","","2011","2020-09-16 15:04:53","2020-09-22 16:26:59","2020-09-16 15:04:52","","xii, 300","","","","","","","","","","University of Washington Press","Seattle","English","","","","","WorldCat Discovery Service","","Section: xii, 300 pages : illustrations, maps ; 23 cm","","","","1800-1999; 1800-talet; 1900-talet; Amerikaner; Amerikaner.; China; China Discovery and exploration American.; China Discovery and exploration English.; China.; Conference papers and proceedings.; Discovery and exploration, American.; Discovery and exploration, English.; Europäer; Europäer.; Europe.; Forschungsreisender; Forskningsresor historia.; Geschichte 1880-1950.; Grenzgebiet; HISTORY Asia China.; HISTORY Expeditions & Discoveries.; History.; Scientific expeditions China History 19th century Congresses.; Scientific expeditions China History 20th century Congresses.; Scientific expeditions.; Scientists Europe Intellectual life Congresses.; Scientists United States Intellectual life Congresses.; SOCIAL SCIENCE Anthropology General.; United States.; Upptäcktsresande.; Vetenskapsmän.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMVAHAS3","book","2014","Indovino, Shaina Carmel.","Women in the environmental sciences","","978-1-4222-2927-9 978-1-4222-2923-1","","","","","2014","2020-09-16 15:04:53","2020-09-22 16:26:31","","","64","","","","","","Major women in science","","","","Mason Crest","Broomall","English","","","","","WorldCat Discovery Service","","Section: 64 pages : color illustrations ; 29 cm.","","","","Biographies.; Environmental sciences Biography Juvenile literature.; Environmental sciences Biography.; Environmental sciences Vocational guidance Juvenile literature.; Environmental sciences Vocational guidance.; Environmental sciences.; Environmental sciences. Biography.; Environmental sciences. Vocational guidance.; Juvenile works.; Literature.; Vocational guidance.; Women Biography.; Women environmentalists Biography Juvenile literature.; Women environmentalists Biography.; Women environmentalists.; Women scientists Biography Juvenile literature.; Women scientists Biography.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGF5DNZC","book","2001","Wyer, Mary.","Women, science, and technology: a reader in feminist science studies","","978-0-415-92607-2 978-0-415-92606-5","","","","","2001","2020-09-16 15:04:53","2020-09-22 16:23:54","","","xxviii, 376","","","","","Women, science, and technology","","","","","Routledge","New York","English","","","","","WorldCat Discovery Service","","Section: xxviii, 376 pages : illustrations ; 26 cm","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&doc_number=009409784&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","Enseignement scientifique.; Feminism and science.; Feminism.; feminisme; Féminisme et sciences.; Féminisme.; Femmes dans les sciences.; Femmes en technologie.; Femmes.; Frau; Frau.; Genre.; kjønn; kvinner; naturvitenskap; Naturwissenschaften; Recherche scientifique et technique.; Science.; Sciences.; Scientifiques.; Technik; Technologie.; Technology.; teknologi; Vrouwenstudies.; Wetenschapsbeoefening.; Wissenschaft; Women in science.; Women in technology.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PBBXR5P","book","2016","Wissinger, Mary; Pioli, Danielle; Coveyou, John J.","Women in biology","","978-1-945779-09-1","","","","","2016","2020-09-16 15:04:53","2020-09-22 16:24:45","","","","","","","","","Science wide open.","","","","Genius Games, LLC","St. Louis, Mo.","English","","","","","WorldCat Discovery Service","","Section: 1 volume (unpaged) : color illustrations ; 22 cm.","","","","Biologists United States Juvenile literature.; Biologists.; Biology Juvenile literature.; Biology.; Juvenile works.; United States.; Women biologists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S94LS2V3","book","2000","Kahn, Jetty.","Women in computer science careers","","978-0-7368-0316-8","","","","","2000","2020-09-16 15:04:53","2020-09-22 16:26:12","","","48","","","","","","Capstone short biographies","","","","Capstone Books","Mankato, Minn.","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (some color) ; 23 cm.","","","","Computer science Vocational guidance Juvenile literature.; Computer science Vocational guidance.; Computer scientists Biography.; Computer scientists.; Computers and women Juvenile literature.; Computers and women.; Juvenile works.; Women Biography.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS8HRYNI","book","2000","Kahn, Jetty.","Women in medical science careers","","978-0-7368-0317-5","","","","","2000","2020-09-16 15:05:20","2020-09-22 16:21:34","","","48","","","","","","Capstone short biographies","","","","Capstone High/Low Books","Mankato, Minn.","English","","","","","WorldCat Discovery Service","","Section: 48 pages : color illustrations ; 22 cm.","","","","Biographies.; Juvenile works.; Scientists Biography.; Scientists.; United States.; Women Biography.; Women medical scientists United States Biography Juvenile literature.; Women medical scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44WKRSW5","book","2008","Molfino, Francesca.; Zucco, Flavia.","Women in biotechnology: creating interfaces","","978-1-4020-8610-6 978-1-4020-8611-3","","","http://swbplus.bsz-bw.de/bsz287466515cov.htm","","2008","2020-09-16 15:05:20","2020-09-22 16:20:41","2020-09-16 15:05:18","","xxiv, 352","","","","","Women in biotechnology","","","","","Springer","[Dordrecht?]","English","","","","","WorldCat Discovery Service","","Section: xxiv, 352 pages : illustrations","","","","Biotechnologists.; Biotechnology.; Bioteknik konferenser.; Congress.; Interprofessional Relations.; Kvinnliga forskare.; Kvinnliga vetenskapsmän.; Research.; Women in science.; Women in technology.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SENLDJF","book","2017","Alexander, Heather","Women who rocked space","","978-1-4748-8253-8 978-1-4748-9203-2","","","","","2017","2020-09-16 15:05:20","2020-09-22 16:22:36","","","48","","","","","","STEM stars.","","","","Parragon","Bath, UK","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations, portraits ; 21 cm.","","","","Astronautics Juvenile literature.; Astronautics.; Biographies.; History.; JUVENILE NONFICTION / Biography & Autobiography / Science & Technology.; JUVENILE NONFICTION / Girls & Women.; JUVENILE NONFICTION / Technology / Aeronautics, Astronautics & Space Science.; Juvenile works.; Women in science History Juvenile literature.; Women in science Juvenile literature.; Women in science.; Women scientists Biography Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
